Тип прямоугольника, погрешность, результат, кол-во точек
Узкий,0.00059666,0.945081,83600
Узкий,0.00325926,0.941439,84100
Узкий,0.000814657,0.945287,84600
Узкий,0.0021503,0.946548,85100
Узкий,0.00118217,0.945634,85600
Узкий,0.000927533,0.943641,86100
Узкий,0.000109277,0.944414,86600
Узкий,0.00109335,0.943485,87100
Узкий,0.0017036,0.942908,87600
Узкий,0.00152365,0.945956,88100
Узкий,0.00275772,0.947122,88600
Узкий,0.000997918,0.943575,89100
Узкий,0.000413451,0.944127,89600
Узкий,0.00192123,0.942703,90100
Узкий,0.000330209,0.944205,90600
Узкий,0.00060415,0.945088,91100
Узкий,0.00362959,0.941089,91600
Узкий,0.00222689,0.946621,92100
Узкий,0.00268449,0.941982,92600
Узкий,0.00103259,0.943542,93100
Узкий,0.000333022,0.944832,93600
Узкий,0.00322424,0.941472,94100
Узкий,0.00132818,0.945772,94600
Узкий,0.00139346,0.945833,95100
Узкий,0.00104276,0.945502,95600
Узкий,0.00203153,0.946436,96100
Узкий,0.000530356,0.945018,96600
Узкий,0.00250913,0.942147,97100
Узкий,0.00378449,0.948092,97600
Узкий,0.00189261,0.946305,98100
Узкий,0.00173796,0.946159,98600
Узкий,0.000756898,0.945232,99100
Узкий,0.000400342,0.944139,99600
